t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
3101, 27.70, 22.30, 1.85, -2.80, 8.37, -0.07, 0.06, 0.04
3112, 27.70, 22.30, 1.61, -5.34, 9.50, -0.01, 0.01, 0.05
3121, 27.70, 22.30, 1.61, -5.34, 9.50, -0.01, 0.01, 0.05
3131, 27.70, 22.30, -0.45, 3.37, 8.75, -0.03, 0.05, 0.01
3141, 27.70, 22.30, 1.04, -1.23, 9.74, -0.09, 0.09, -0.09
3151, 27.70, 22.30, 2.65, 0.34, 8.20, -0.02, 0.08, 0.06
3162, 27.70, 22.30, -0.57, 1.58, 9.54, -0.07, 0.12, 0.06
3172, 27.70, 22.30, 0.30, 0.48, 8.76, -0.03, 0.10, -0.03
3181, 27.70, 22.30, 0.30, 0.48, 8.76, -0.03, 0.10, -0.03
3191, 27.70, 22.30, 0.98, -3.10, 10.80, -0.01, 0.03, 0.00
3201, 27.70, 22.30, -3.07, 1.57, 10.75, -0.05, 0.10, 0.01
